stop_name,latitude,longitude,total_ons
5TH ST AT CAVIT AVE,40.3858,-79.76,12.0
5TH ST AT CAVIT AVE,40.3858,-79.76,14.0
5TH ST AT CAVIT AVE,40.3858,-79.76,64.0
5TH ST AT CAVIT AVE,40.3858,-79.76,39.0
7TH ST AT PROSPECT AVE,40.3864,-79.7525,1.0
7TH ST AT PROSPECT AVE,40.3864,-79.7525,0.0
7TH ST AT PROSPECT AVE,40.3864,-79.7525,14.0
7TH ST AT PROSPECT AVE,40.3864,-79.7525,45.0
FOREST AVE AT 6TH ST,40.3868,-79.7576,6.0
FOREST AVE AT 6TH ST,40.3868,-79.7576,2.0
FOREST AVE AT 6TH ST,40.3868,-79.7576,30.0
FOREST AVE AT 6TH ST,40.3868,-79.7576,43.0
5TH ST AT DUQUESNE AVE,40.3857,-79.7591,5.0
5TH ST AT DUQUESNE AVE,40.3857,-79.7591,3.0
5TH ST AT DUQUESNE AVE,40.3857,-79.7591,36.0
5TH ST AT DUQUESNE AVE,40.3857,-79.7591,49.0
FORBES RD OPP MEADOW ST,40.3889,-79.7503,0.0
FORBES RD OPP MEADOW ST,40.3889,-79.7503,0.0
FORBES RD OPP MEADOW ST,40.3889,-79.7503,0.0
FORBES RD OPP MEADOW ST,40.3889,-79.7503,0.0
7TH ST EXT OPP TIMBER DR,40.3883,-79.7484,2.0
7TH ST EXT OPP TIMBER DR,40.3883,-79.7484,0.0
7TH ST EXT OPP TIMBER DR,40.3883,-79.7484,0.0
7TH ST EXT OPP TIMBER DR,40.3883,-79.7484,0.0
7TH ST AT PROSPECT AVE,40.3865,-79.7523,0.0
7TH ST AT PROSPECT AVE,40.3865,-79.7523,0.0
7TH ST AT PROSPECT AVE,40.3865,-79.7523,0.0
7TH ST AT PROSPECT AVE,40.3865,-79.7523,0.0
7TH ST AT FOREST AVE,40.3875,-79.7568,0.0
7TH ST AT FOREST AVE,40.3875,-79.7568,0.0
7TH ST AT FOREST AVE,40.3875,-79.7568,0.0
7TH ST AT FOREST AVE,40.3875,-79.7568,0.0
FOREST AVE AT 6TH ST,40.387,-79.7576,0.0
FOREST AVE AT 6TH ST,40.387,-79.7576,0.0
FOREST AVE AT 6TH ST,40.387,-79.7576,7.0
FOREST AVE AT 6TH ST,40.387,-79.7576,1.0
FOREST AVE AT DUQUESNE AVE,40.3859,-79.7587,0.0
FOREST AVE AT DUQUESNE AVE,40.3859,-79.7587,0.0
FOREST AVE AT DUQUESNE AVE,40.3859,-79.7587,1.0
FOREST AVE AT DUQUESNE AVE,40.3859,-79.7587,0.0
5TH ST AT BRINTON AVE,40.386,-79.7605,0.0
5TH ST AT BRINTON AVE,40.386,-79.7605,0.0
5TH ST AT BRINTON AVE,40.386,-79.7605,21.0
5TH ST AT BRINTON AVE,40.386,-79.7605,0.0
VIADUCT WAY TERMINAL,40.3852,-79.7614,13.0
VIADUCT WAY TERMINAL,40.3852,-79.7614,14.0
VIADUCT WAY TERMINAL,40.3852,-79.7614,252.0
VIADUCT WAY TERMINAL,40.3852,-79.7614,82.0
BRINTON AVE AT 5TH ST NS,40.3854,-79.7609,3.0
BRINTON AVE AT 5TH ST NS,40.3854,-79.7609,0.0
BRINTON AVE AT 5TH ST NS,40.3854,-79.7609,62.0
BRINTON AVE AT 5TH ST NS,40.3854,-79.7609,4.0
FOREST AVE AT 7TH ST,40.3873,-79.7571,0.0
FOREST AVE AT 7TH ST,40.3873,-79.7571,0.0
FOREST AVE AT 7TH ST,40.3873,-79.7571,2.0
FOREST AVE AT 7TH ST,40.3873,-79.7571,1.0
7TH ST EXT AT TIMBER DR,40.3881,-79.7484,1.0
7TH ST EXT AT TIMBER DR,40.3881,-79.7484,0.0
7TH ST EXT AT TIMBER DR,40.3881,-79.7484,25.0
7TH ST EXT AT TIMBER DR,40.3881,-79.7484,47.0
FORBES RD AT MEADOW ST,40.389,-79.7503,0.0
FORBES RD AT MEADOW ST,40.389,-79.7503,0.0
FORBES RD AT MEADOW ST,40.389,-79.7503,0.0
FORBES RD AT MEADOW ST,40.389,-79.7503,0.0
4TH AVE AT 7TH ST,40.5626,-79.7657,71.0
4TH AVE AT 7TH ST,40.5626,-79.7657,73.0
4TH AVE AT 7TH ST,40.5626,-79.7657,481.0
4TH AVE AT CENTRAL CITY PLAZA,40.5649,-79.7663,514.0
4TH AVE AT CENTRAL CITY PLAZA,40.5649,-79.7663,401.0
4TH AVE AT CENTRAL CITY PLAZA,40.5649,-79.7663,3788.0
7TH ST OPP NEW KEN HOSPITAL,40.5623,-79.7667,3.0
7TH ST OPP NEW KEN HOSPITAL,40.5623,-79.7667,6.0
7TH ST OPP NEW KEN HOSPITAL,40.5623,-79.7667,12.0
AMBRIDGE PARK AND RIDE,40.5924,-80.2281,226.0
AMBRIDGE PARK AND RIDE,40.5924,-80.2281,216.0
AMBRIDGE PARK AND RIDE,40.5924,-80.2281,1526.0
FREEPORT RD OPP BRILLIANT AVE FS,40.4887,-79.9007,5.0
FREEPORT RD OPP BRILLIANT AVE FS,40.4887,-79.9007,2.0
FREEPORT RD OPP BRILLIANT AVE FS,40.4887,-79.9007,33.0
FREEPORT RD OPP BRILLIANT AVE FS,40.4887,-79.9007,0.0
FREEPORT RD OPP BRILLIANT AVE FS,40.4887,-79.9007,1.0
FREEPORT RD OPP BRILLIANT AVE FS,40.4887,-79.9007,6.0
FREEPORT RD OPP BRILLIANT AVE FS,40.4887,-79.9007,4.0
FREEPORT RD OPP BRILLIANT AVE FS,40.4887,-79.9007,2.0
FREEPORT RD OPP BRILLIANT AVE FS,40.4887,-79.9007,24.0
INDUSTRIAL BLVD AT KEY LINCOLN-MERCURY,40.5634,-79.7679,1.0
INDUSTRIAL BLVD AT KEY LINCOLN-MERCURY,40.5634,-79.7679,7.0
INDUSTRIAL BLVD AT KEY LINCOLN-MERCURY,40.5634,-79.7679,30.0
MERCHANT ST AT 10TH ST,40.5916,-80.23,1.0
MERCHANT ST AT 10TH ST,40.5916,-80.23,0.0
MERCHANT ST AT 10TH ST,40.5916,-80.23,0.0
MERCHANT ST AT 11TH ST FS,40.5923,-80.2303,40.0
MERCHANT ST AT 11TH ST FS,40.5923,-80.2303,80.0
MERCHANT ST AT 11TH ST FS,40.5923,-80.2303,516.0
MERCHANT ST AT 11TH ST,40.5927,-80.2304,1.0
MERCHANT ST AT 11TH ST,40.5927,-80.2304,1.0
MERCHANT ST AT 11TH ST,40.5927,-80.2304,9.0
MERCHANT ST AT PA JOB SERVICE,40.5801,-80.2223,5.0
MERCHANT ST AT PA JOB SERVICE,40.5801,-80.2223,3.0
MERCHANT ST AT PA JOB SERVICE,40.5801,-80.2223,52.0
MERCHANT ST AT 3RD ST FS,40.582,-80.224,20.0
MERCHANT ST AT 3RD ST FS,40.582,-80.224,19.0
MERCHANT ST AT 3RD ST FS,40.582,-80.224,176.0
MERCHANT ST AT 3RD ST,40.5818,-80.2238,1.0
MERCHANT ST AT 3RD ST,40.5818,-80.2238,5.0
MERCHANT ST AT 3RD ST,40.5818,-80.2238,6.0
MERCHANT ST AT 4TH ST,40.5838,-80.2253,38.0
MERCHANT ST AT 4TH ST,40.5838,-80.2253,49.0
MERCHANT ST AT 4TH ST,40.5838,-80.2253,397.0
MERCHANT ST AT 4TH ST FS,40.584,-80.2254,0.0
MERCHANT ST AT 4TH ST FS,40.584,-80.2254,1.0
MERCHANT ST AT 4TH ST FS,40.584,-80.2254,19.0
MERCHANT ST AT 6TH ST,40.5866,-80.2274,53.0
MERCHANT ST AT 6TH ST,40.5866,-80.2274,68.0
MERCHANT ST AT 6TH ST,40.5866,-80.2274,315.0
MERCHANT ST AT 8TH ST NS,40.5895,-80.2294,59.0
MERCHANT ST AT 8TH ST NS,40.5895,-80.2294,60.0
MERCHANT ST AT 8TH ST NS,40.5895,-80.2294,430.0
MERCHANT ST AT #826,40.5895,-80.2293,2.0
MERCHANT ST AT #826,40.5895,-80.2293,0.0
MERCHANT ST AT #826,40.5895,-80.2293,20.0
MERCHANT ST OPP VALLEY RD,40.5799,-80.2216,18.0
MERCHANT ST OPP VALLEY RD,40.5799,-80.2216,19.0
MERCHANT ST OPP VALLEY RD,40.5799,-80.2216,177.0
MERCHANT ST AT VALLEY RD,40.5799,-80.2214,2.0
MERCHANT ST AT VALLEY RD,40.5799,-80.2214,2.0
MERCHANT ST AT VALLEY RD,40.5799,-80.2214,30.0
PERRYSVILLE AVE AT #4146,40.4941,-80.0216,8.0
PERRYSVILLE AVE AT #4146,40.4941,-80.0216,14.0
PERRYSVILLE AVE AT #4146,40.4941,-80.0216,52.0
MERCHANT ST AT 6TH ST,40.5865,-80.2272,1.0
MERCHANT ST AT 6TH ST,40.5865,-80.2272,1.0
MERCHANT ST AT 6TH ST,40.5865,-80.2272,7.0
