_id,Closed Status,Duration,Start Station Id,Start Date,Start Station Name,End Date,End Station Id,End Station Name,Rider Type
1,NORMAL,961,16,2024-03-31T23:58:21,Penn Ave & Putnam St (Bakery Square),2024-04-01T00:14:22,19,42nd St & Butler St,MEMBER
2,NORMAL,158,50,2024-03-31T23:56:56,Atwood St & Bates St,2024-03-31T23:59:34,51,Coltart Ave & Forbes Ave,MEMBER
3,NORMAL,164,28,2024-03-31T23:56:05,Fifth Ave & S Bouquet St,2024-03-31T23:58:49,10,Zulema St & Coltart Ave,MEMBER
4,NORMAL,339,13,2024-03-31T23:55:50,S Bouquet Ave & Sennott St,2024-04-01T00:01:29,20,Boulevard of the Allies & Parkview Ave,MEMBER
5,NORMAL,271,13,2024-03-31T23:52:45,S Bouquet Ave & Sennott St,2024-03-31T23:57:16,50,Atwood St & Bates St,MEMBER
6,NORMAL,166,10,2024-03-31T23:52:13,Zulema St & Coltart Ave,2024-03-31T23:54:59,13,S Bouquet Ave & Sennott St,MEMBER
7,GRACE_PERIOD,22,13,2024-03-31T23:52:04,S Bouquet Ave & Sennott St,2024-03-31T23:52:26,13,S Bouquet Ave & Sennott St,MEMBER
8,NORMAL,182,10,2024-03-31T23:51:54,Zulema St & Coltart Ave,2024-03-31T23:54:56,13,S Bouquet Ave & Sennott St,MEMBER
9,GRACE_PERIOD,22,13,2024-03-31T23:51:24,S Bouquet Ave & Sennott St,2024-03-31T23:51:46,13,S Bouquet Ave & Sennott St,MEMBER
10,NORMAL,290,51,2024-03-31T23:48:35,Coltart Ave & Forbes Ave,2024-03-31T23:53:25,20,Boulevard of the Allies & Parkview Ave,MEMBER
11,NORMAL,566,13,2024-03-31T23:45:32,S Bouquet Ave & Sennott St,2024-03-31T23:54:58,13,S Bouquet Ave & Sennott St,MEMBER
12,NORMAL,349,28,2024-03-31T23:33:34,Fifth Ave & S Bouquet St,2024-03-31T23:39:23,48,S Millvale Ave & Centre Ave,MEMBER
13,NORMAL,237,28,2024-03-31T23:25:00,Fifth Ave & S Bouquet St,2024-03-31T23:28:57,34,N Dithridge St & Centre Ave,MEMBER
14,NORMAL,340,29,2024-03-31T23:21:41,Forbes Ave & Schenley Dr,2024-03-31T23:27:21,50,Atwood St & Bates St,MEMBER
15,NORMAL,1998,33,2024-03-31T23:16:39,Schenley Dr & Schenley Dr Ext,2024-03-31T23:49:57,29,Forbes Ave & Schenley Dr,CASUAL
16,NORMAL,1976,33,2024-03-31T23:16:20,Schenley Dr & Schenley Dr Ext,2024-03-31T23:49:16,29,Forbes Ave & Schenley Dr,CASUAL
17,NORMAL,252,28,2024-03-31T23:15:00,Fifth Ave & S Bouquet St,2024-03-31T23:19:12,34,N Dithridge St & Centre Ave,MEMBER
18,NORMAL,2099,29,2024-03-31T23:14:41,Forbes Ave & Schenley Dr,2024-03-31T23:49:40,29,Forbes Ave & Schenley Dr,CASUAL
19,NORMAL,2132,29,2024-03-31T23:14:20,Forbes Ave & Schenley Dr,2024-03-31T23:49:52,29,Forbes Ave & Schenley Dr,CASUAL
20,NORMAL,2128,34,2024-03-31T23:14:08,N Dithridge St & Centre Ave,2024-03-31T23:49:36,34,N Dithridge St & Centre Ave,MEMBER
21,NORMAL,206,13,2024-03-31T23:02:56,S Bouquet Ave & Sennott St,2024-03-31T23:06:22,20,Boulevard of the Allies & Parkview Ave,MEMBER
22,NORMAL,1132,32,2024-03-31T22:48:34,Ross St & Fourth Ave,2024-03-31T23:07:26,8,Glasshouse,CASUAL
23,NORMAL,1183,32,2024-03-31T22:48:20,Ross St & Fourth Ave,2024-03-31T23:08:03,8,Glasshouse,CASUAL
24,NORMAL,508,26,2024-03-31T22:45:52,S 27th St & Sidney St. (Southside Works),2024-03-31T22:54:20,10,Zulema St & Coltart Ave,MEMBER
25,NORMAL,507,7,2024-03-31T22:41:08,Liberty Ave & Gross St,2024-03-31T22:49:35,12,O'Hara St and University Place,MEMBER
26,NORMAL,185,51,2024-03-31T22:38:10,Coltart Ave & Forbes Ave,2024-03-31T22:41:15,13,S Bouquet Ave & Sennott St,MEMBER
27,NORMAL,846,15,2024-03-31T22:35:02,Ivy St & Walnut St,2024-03-31T22:49:08,50,Atwood St & Bates St,MEMBER
28,NORMAL,427,48,2024-03-31T22:27:05,S Millvale Ave & Centre Ave,2024-03-31T22:34:12,28,Fifth Ave & S Bouquet St,MEMBER
29,NORMAL,182,12,2024-03-31T22:25:18,O'Hara St and University Place,2024-03-31T22:28:20,34,N Dithridge St & Centre Ave,MEMBER
30,NORMAL,1661,34,2024-03-31T22:24:36,N Dithridge St & Centre Ave,2024-03-31T22:52:17,34,N Dithridge St & Centre Ave,MEMBER
